LOYAL_CODE,TXN_DESC
MARAL_RDX2,ардын мерчантаар үйлчлүүлсэн
MARAL_RDX3,ардын мерчантаар үйлчлүүлсэн
MARAL_RDX4,ардын мерчантаар үйлчлүүлсэн
MARAL_RDX5,ардын мерчантаар үйлчлүүлсэн
MARAL_RDX6,ардын мерчантаар үйлчлүүлсэн
MARAL_RDX_USTGAH,12 сарын ардын мерчантын
MARAN_RDX,ardpay
None,1к эрхийн гүйлгээний
PENSION_SURGALT,ard pension  хүчтэй хамтдаа
SAINSHAND,хөрөнгө оруулагч үндэстэнд нэгдсэнд  сайншанд
SELENGE,хөрөнгө оруулагч үндэстэнд нэгдсэнд  сэлэнгэ
SMART_LOGIC,smartlogic summit д хүрэлцэн ирсэн
TVMEN_ARD,tumen ard хөтөлбөрийн албан ёсны фэйсбүүк группт нэгдсэнд
TVMEN_ARDSURGALT,tumen ard сургалтанд ирсэнд
ZEEL_TULULT,ард кредит ббсб зээлийн эргэн төлөлтөө хийсэн
